n;id;age;gender;foreigner;country_orig;orig_in_zone;mpio_orig;resid_in_zone;mpio_resid;resid_in_dept;years_resid;activity;sector;econ_sector;educ;env_home;dwel_type;wages_smmv;opp_city_nat;for_wet_pub;junt_loc_ef;partic_com
1;2785;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Other;Pregraduate;Urban;Property;4;4;3;2;3
2;2798;24;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;24;employee;private or independant;Transport;Pregraduate;Urban;Rent;1;3;1;2;2
3;3615;45;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Other;Master;Urban;Property;6;4;2;2;2
4;3916;41;female;FALSE;Colombia;FALSE;Barranquilla;TRUE;Bogotá D.C.;TRUE;3;independent;private or independant;Other;Pregraduate;Urban;Rent;3;1;4;3;1
5;3912;35;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;35;employee;private or independant;Other;Pregraduate;Urban;Property;4;1;1;1;1
6;999;42;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;independent;private or independant;Personal services;Pregraduate;Urban;Rent;5;5;4;3;1
7;3579;36;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;employee;private or independant;Commerce;Pregraduate;Urban;Family;6;1;4;2;2
8;3909;63;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Other;Pregraduate;Urban;Property;9;2;3;3;3
9;3911;39;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;39;employee;private or independant;Education;Specialization;Urban;Rent;5;2;4;3;1
10;3878;53;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;employee;private or independant;Construction;Pregraduate;Urban;Family;4;4;2;1;2
11;1010;25;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;employee;private or independant;Commerce;Master;Urban;Rent;8;5;2;4;3
